stock,qtr,eps,price,pe
20MICRONS.NS,2022-12-31,2.09,89.52226257324219,42.833618456096744
20MICRONS.NS,2023-03-31,2.64,73.0533218383789,27.671712817567766
20MICRONS.NS,2023-06-30,4.23,92.71773529052734,21.91908635709866
20MICRONS.NS,2023-09-30,4.54,132.09979248046875,29.09687059041162
20MICRONS.NS,2023-12-31,3.25,174.41726684570312,53.66685133713942
20MICRONS.NS,2024-03-31,3.87,142.24609375,36.75609657622739
20MICRONS.NS,2024-06-30,5.06,218.53631591796875,43.18899524070529
20MICRONS.NS,2024-09-30,4.65,298.40234375,64.17254704301075
20MICRONS.NS,2024-12-31,3.65,234.42129516601562,64.22501237425085
20MICRONS.NS,2025-03-31,4.31,190.18109130859375,44.12554322705192
20MICRONS.NS,2025-06-30,4.78,230.2401885986328,48.16740347251732
20MICRONS.NS,2025-09-30,4.93,207.16000366210938,42.0202847184806
20MICRONS.NS,2025-12-31,4.24,212.77000427246094,50.181604781240786
21STCENMGM.NS,2022-12-31,-3.87,21.83783531188965,
21STCENMGM.NS,2023-03-31,-7.47,20.143102645874023,
21STCENMGM.NS,2023-06-30,-2.64,22.56414794921875,
21STCENMGM.NS,2023-09-30,2.19,19.029420852661133,8.689233266055313
21STCENMGM.NS,2023-12-31,15.27,31.909387588500977,2.0896782965619503
21STCENMGM.NS,2024-03-31,15.83,40.28620529174805,2.5449276874130162
21STCENMGM.NS,2024-06-30,23.29,64.47730255126953,2.7684543817633975
21STCENMGM.NS,2024-09-30,2.3,107.0,46.52173913043479
21STCENMGM.NS,2024-12-31,-3.1,89.18000030517578,
21STCENMGM.NS,2025-03-31,-10.3,66.66999816894531,
21STCENMGM.NS,2025-06-30,2.2,58.77000045776367,26.713636571710758
21STCENMGM.NS,2025-09-30,-7.51,51.560001373291016,
21STCENMGM.NS,2025-12-31,-5.34,49.650001525878906,
360ONE.NS,2022-12-31,4.82,418.4097900390625,86.80701038154824
360ONE.NS,2023-03-31,4.37,409.4817199707031,93.70291074844465
360ONE.NS,2023-06-30,5.15,436.9223327636719,84.83928791527609
360ONE.NS,2023-09-30,5.21,485.9441223144531,93.27142462849389
360ONE.NS,2023-12-31,5.36,692.0828857421875,129.1199413698111
360ONE.NS,2024-03-31,6.76,663.4273681640625,98.14014321953587
360ONE.NS,2024-06-30,6.72,966.8060302734375,143.8699449811663
360ONE.NS,2024-09-30,6.73,1028.03173828125,152.7536015276746
360ONE.NS,2024-12-31,7.12,1240.837158203125,174.2748817701018
360ONE.NS,2025-03-31,6.35,932.1605834960938,146.79694228284941
360ONE.NS,2025-06-30,7.04,1188.4554443359375,168.8146937977184
360ONE.NS,2025-09-30,7.79,1018.8182373046875,130.7853963163912
360ONE.NS,2025-12-31,8.08,1190.0,147.27722772277227
3IINFOLTD.NS,2022-12-31,0.63,40.75,64.68253968253968
3IINFOLTD.NS,2023-03-31,-1.32,27.450000762939453,
3IINFOLTD.NS,2023-06-30,-0.76,33.75,
3IINFOLTD.NS,2023-09-30,-7.48,40.45000076293945,
3IINFOLTD.NS,2023-12-31,-1.43,48.95000076293945,
3IINFOLTD.NS,2024-03-31,-4.83,39.5,
3IINFOLTD.NS,2024-06-30,-0.43,36.459999084472656,
3IINFOLTD.NS,2024-09-30,-0.48,32.09000015258789,
3IINFOLTD.NS,2024-12-31,0.83,28.059999465942383,33.80722827221974
3IINFOLTD.NS,2025-03-31,1.3,21.149999618530273,16.26923047579252
3IINFOLTD.NS,2025-06-30,0.37,25.020000457763672,67.62162285882073
3IINFOLTD.NS,2025-09-30,0.89,21.56999969482422,24.23595471328564
3IINFOLTD.NS,2025-12-31,0.1,16.610000610351562,166.10000610351562
3MINDIA.NS,2021-06-30,26.72,22604.068359375,845.9606421921782
3MINDIA.NS,2021-09-30,57.01,23069.451171875,404.65622122215404
3MINDIA.NS,2021-12-31,59.24,23560.244140625,397.7083750949527
3MINDIA.NS,2022-03-31,98.46,18298.83984375,185.85049607708714
3MINDIA.NS,2022-06-30,74.8,20302.46484375,271.42332678810163
3MINDIA.NS,2022-09-30,94.3,22859.3125,242.4105249204666
3MINDIA.NS,2022-12-31,110.79,21123.595703125,190.66337849196677
3MINDIA.NS,2023-03-31,120.48,22106.22265625,183.4845838002158
3MINDIA.NS,2023-06-30,114.7,26003.861328125,226.71195578138622
3MINDIA.NS,2023-09-30,129.7,30726.81640625,236.90683428103318
3MINDIA.NS,2023-12-31,120.05,36043.41015625,300.236652696793
3MINDIA.NS,2024-03-31,153.44,30135.095703125,196.39660911838504
3MINDIA.NS,2024-06-30,139.5,35555.69140625,254.87950828853047
3PLAND.NS,2022-12-31,0.16,16.799999237060547,104.99999523162842
3PLAND.NS,2023-03-31,0.15,20.100000381469727,134.00000254313153
3PLAND.NS,2023-06-30,0.14,18.700000762939453,133.5714340209961
3PLAND.NS,2023-09-30,0.44,23.950000762939453,54.431819915771484
3PLAND.NS,2023-12-31,0.22,26.899999618530273,122.27272553877397
3PLAND.NS,2024-03-31,0.2,27.0,135.0
3PLAND.NS,2024-06-30,0.21,38.38999938964844,182.80952090308782
3PLAND.NS,2024-09-30,0.53,37.310001373291016,70.39622900620947
3PLAND.NS,2024-12-31,0.21,59.900001525878906,285.2381025041853
3PLAND.NS,2025-03-31,0.21,37.09000015258789,176.61904834565664
3PLAND.NS,2025-06-30,0.21,50.91999816894531,242.47618175688245
3PLAND.NS,2025-09-30,0.55,42.90999984741211,78.01818154074928
3PLAND.NS,2025-12-31,0.22,36.630001068115234,166.50000485506925
5PAISA.NS,2022-12-31,2.4,307.54998779296875,128.1458282470703
5PAISA.NS,2023-03-31,3.13,283.0,90.41533546325878
5PAISA.NS,2023-06-30,3.16,370.75,117.3259493670886
5PAISA.NS,2023-09-30,4.13,440.8999938964844,106.7554464640398
5PAISA.NS,2023-12-31,3.23,566.25,175.30959752321982
5PAISA.NS,2024-03-31,1.24,505.04998779296875,407.2983772523942
5PAISA.NS,2024-06-30,4.29,513.0,119.58041958041957
5PAISA.NS,2024-09-30,4.68,538.4500122070312,115.05342141175882
5PAISA.NS,2024-12-31,3.46,468.1000061035156,135.28901910506232
5PAISA.NS,2025-03-31,2.15,355.3500061035156,165.27907260628635
5PAISA.NS,2025-06-30,2.46,412.5,167.6829268292683
5PAISA.NS,2025-09-30,2.02,343.20001220703125,169.90099614209467
5PAISA.NS,2025-12-31,2.62,333.8500061035156,127.42366645172352
63MOONS.NS,2022-12-31,4.77,165.40042114257812,34.675140700750134
