stock,quarter_end,eps,price,pe
20MICRONS.NS,2023-03-31,2.64,73.05,27.6705
20MICRONS.NS,2023-06-30,4.23,92.72,21.9196
20MICRONS.NS,2023-09-30,4.54,132.1,29.0969
20MICRONS.NS,2023-12-31,3.25,174.42,53.6677
20MICRONS.NS,2024-03-31,3.87,142.25,36.7571
20MICRONS.NS,2024-06-30,5.06,218.54,43.1897
20MICRONS.NS,2024-09-30,4.65,298.4,64.172
20MICRONS.NS,2024-12-31,3.65,234.42,64.2247
20MICRONS.NS,2025-03-31,4.31,190.18,44.1253
20MICRONS.NS,2025-06-30,4.78,230.24,48.1674
20MICRONS.NS,2025-09-30,4.93,207.16,42.0203
20MICRONS.NS,2025-12-31,4.24,212.77,50.1816
20MICRONS.NS,2026-03-31,4.99,133.14,26.6814
360ONE.NS,2023-03-31,4.37,407.12,93.1625
360ONE.NS,2023-06-30,5.15,434.4,84.3495
360ONE.NS,2023-09-30,5.2,483.14,92.9115
360ONE.NS,2023-12-31,5.36,688.09,128.375
360ONE.NS,2024-03-31,6.76,659.6,97.574
360ONE.NS,2024-06-30,6.72,961.23,143.0402
360ONE.NS,2024-09-30,6.73,1022.1,151.8722
360ONE.NS,2024-12-31,7.12,1233.68,173.2697
360ONE.NS,2025-03-31,6.35,926.78,145.9496
360ONE.NS,2025-06-30,7.04,1181.6,167.8409
360ONE.NS,2025-09-30,7.79,1012.94,130.0308
360ONE.NS,2025-12-31,8.08,1183.13,146.427
360ONE.NS,2026-03-31,7.11,944.12,132.7876
3MINDIA.NS,2021-06-30,26.72,22604.07,845.9607
3MINDIA.NS,2021-09-30,57.01,23069.45,404.6562
3MINDIA.NS,2021-12-31,59.24,23560.24,397.7083
3MINDIA.NS,2022-03-31,98.46,18298.84,185.8505
3MINDIA.NS,2022-06-30,74.8,20302.47,271.4234
3MINDIA.NS,2022-09-30,94.3,22859.31,242.4105
3MINDIA.NS,2022-12-31,110.79,21123.6,190.6634
3MINDIA.NS,2023-03-31,120.48,22106.22,183.4846
3MINDIA.NS,2023-06-30,114.7,26003.86,226.7119
3MINDIA.NS,2023-09-30,129.7,30726.81,236.9068
3MINDIA.NS,2023-12-31,120.05,36043.41,300.2367
3MINDIA.NS,2024-03-31,153.44,30135.09,196.3966
3MINDIA.NS,2024-06-30,139.5,35555.69,254.8795
5PAISA.NS,2023-03-31,3.13,283.0,90.4153
5PAISA.NS,2023-06-30,3.16,370.75,117.3259
5PAISA.NS,2023-09-30,4.13,440.9,106.7554
5PAISA.NS,2023-12-31,3.23,566.25,175.3096
5PAISA.NS,2024-03-31,1.24,505.05,407.2984
5PAISA.NS,2024-06-30,4.29,513.0,119.5804
5PAISA.NS,2024-09-30,4.68,538.45,115.0534
5PAISA.NS,2024-12-31,3.46,468.1,135.289
5PAISA.NS,2025-03-31,2.15,355.35,165.2791
5PAISA.NS,2025-06-30,2.46,412.5,167.6829
5PAISA.NS,2025-09-30,2.02,343.2,169.901
5PAISA.NS,2025-12-31,2.62,333.85,127.4237
5PAISA.NS,2026-03-31,2.32,249.1,107.3707
63MOONS.NS,2023-03-31,-5.16,172.46,-33.4225
63MOONS.NS,2023-06-30,8.54,240.45,28.1557
63MOONS.NS,2023-09-30,17.88,278.5,15.5761
63MOONS.NS,2023-12-31,20.12,468.42,23.2813
63MOONS.NS,2024-03-31,1.74,379.15,217.9023
63MOONS.NS,2024-06-30,-1.86,364.74,-196.0968
63MOONS.NS,2024-09-30,-4.1,388.2,-94.6829
63MOONS.NS,2024-12-31,-3.62,903.23,-249.511
63MOONS.NS,2025-03-31,2.39,813.05,340.1883
63MOONS.NS,2025-06-30,0.67,1000.26,1492.9254
63MOONS.NS,2025-09-30,-6.13,837.55,-136.6313
63MOONS.NS,2025-12-31,-4.29,719.0,-167.5991
63MOONS.NS,2026-03-31,4.88,470.3,96.373
AADHARHFC.NS,2023-03-31,3.56,,
AADHARHFC.NS,2023-06-30,3.71,,
AADHARHFC.NS,2023-09-30,5.0,,
AADHARHFC.NS,2023-12-31,5.17,,
AADHARHFC.NS,2024-03-31,5.11,,
AADHARHFC.NS,2024-06-30,4.69,408.75,87.1535
AADHARHFC.NS,2024-09-30,5.29,469.25,88.7051
AADHARHFC.NS,2024-12-31,5.56,422.6,76.0072
AADHARHFC.NS,2025-03-31,5.68,424.85,74.7975
AADHARHFC.NS,2025-06-30,5.49,454.6,82.8051
AADHARHFC.NS,2025-09-30,6.15,510.25,82.9675
AADHARHFC.NS,2025-12-31,6.48,485.05,74.8534
AADHARHFC.NS,2026-03-31,7.14,448.85,62.8641
AARTIDRUGS.NS,2023-03-31,6.06,334.51,55.1997
AARTIDRUGS.NS,2023-06-30,5.17,460.64,89.0986
AARTIDRUGS.NS,2023-09-30,4.31,537.34,124.6729
AARTIDRUGS.NS,2023-12-31,3.99,484.51,121.4311
AARTIDRUGS.NS,2024-03-31,5.15,430.96,83.6816
AARTIDRUGS.NS,2024-06-30,3.62,500.67,138.3066
AARTIDRUGS.NS,2024-09-30,3.84,509.25,132.6172
AARTIDRUGS.NS,2024-12-31,4.06,456.86,112.5271
AARTIDRUGS.NS,2025-03-31,6.89,338.48,49.1263
AARTIDRUGS.NS,2025-06-30,5.91,455.7,77.1066
AARTIDRUGS.NS,2025-09-30,4.96,483.9,97.5605
AARTIDRUGS.NS,2025-12-31,4.44,409.45,92.2185
AARTIDRUGS.NS,2026-03-31,6.05,319.75,52.8512
AARTIIND.NS,2023-03-31,4.11,514.34,125.1436
AARTIIND.NS,2023-06-30,1.93,499.9,259.0155
AARTIIND.NS,2023-09-30,2.51,489.38,194.9721
AARTIIND.NS,2023-12-31,3.42,646.94,189.1637
AARTIIND.NS,2024-03-31,3.64,662.82,182.0934
AARTIIND.NS,2024-06-30,3.78,683.43,180.8016
AARTIIND.NS,2024-09-30,1.43,581.4,406.5734
AARTIIND.NS,2024-12-31,1.27,408.96,322.0157
AARTIIND.NS,2025-03-31,2.65,389.71,147.0604
AARTIIND.NS,2025-06-30,1.19,478.18,401.8319
AARTIIND.NS,2025-09-30,2.92,374.9,128.3904
AARTIIND.NS,2025-12-31,3.67,373.9,101.8801
AARTIIND.NS,2026-03-31,3.78,399.05,105.5688
AARTIPHARM.NS,2023-03-31,4.73,272.1,57.5264
AARTIPHARM.NS,2023-06-30,5.2,365.9,70.3654
AARTIPHARM.NS,2023-09-30,5.72,455.67,79.6626
AARTIPHARM.NS,2023-12-31,5.82,497.59,85.4966
AARTIPHARM.NS,2024-03-31,7.2,430.69,59.8181
AARTIPHARM.NS,2024-06-30,6.12,605.11,98.8742
AARTIPHARM.NS,2024-09-30,6.03,631.49,104.7247
AARTIPHARM.NS,2024-12-31,8.16,680.63,83.4105
AARTIPHARM.NS,2025-03-31,9.75,745.65,76.4769
AARTIPHARM.NS,2025-06-30,5.46,886.07,162.2839
AARTIPHARM.NS,2025-09-30,3.08,825.9,268.1494
AARTIPHARM.NS,2025-12-31,5.29,750.81,141.9301
AARTIPHARM.NS,2026-03-31,6.74,591.95,87.8264
AAVAS.NS,2021-03-31,11.14,2420.85,217.3115
AAVAS.NS,2021-06-30,7.52,2712.4,360.6915
AAVAS.NS,2021-09-30,11.65,2560.0,219.7425
AAVAS.NS,2021-12-31,11.25,2616.05,232.5378
AAVAS.NS,2022-03-31,14.63,2569.45,175.6288
AAVAS.NS,2022-06-30,11.28,2015.45,178.6746
AAVAS.NS,2022-09-30,13.49,2241.7,166.1749
AAVAS.NS,2022-12-31,13.55,1845.85,136.2251
AAVAS.NS,2023-03-31,16.04,1610.75,100.4208
AAVAS.NS,2023-06-30,13.89,1536.95,110.6515
AAVAS.NS,2023-09-30,15.38,1739.3,113.0884
AAVAS.NS,2023-12-31,14.75,1532.25,103.8814
AAVAS.NS,2024-03-31,18.0,1315.65,73.0917
ABB.NS,2019-03-31,5.48,1152.81,210.3668
ABB.NS,2019-06-30,6.15,1409.9,229.252
ABB.NS,2019-09-30,6.38,1333.26,208.9749
ABB.NS,2022-03-31,3.76,2110.18,561.2181
ABB.NS,2022-06-30,6.87,2255.59,328.3246
ABB.NS,2024-09-30,20.79,7958.31,382.7951
ABB.NS,2024-12-31,24.94,6829.27,273.828
ABB.NS,2025-03-31,22.4,5479.67,244.6281
ABB.NS,2025-06-30,16.6,6044.17,364.1066
ABB.NS,2025-09-30,19.3,5162.19,267.471
ABB.NS,2025-12-31,20.43,5148.94,252.0284
ABB.NS,2026-03-31,84.17,5917.3,70.3018
